Table: Table_1

Territory ,Base Class Premium ,Wind Exclusion Credit ,
932 ,385.07 ,149.17 ,
933 ,389.63 ,150.93 ,
934 ,547.10 ,211.91 ,
992 ,380.15 ,146.42 ,
993 ,383.22 ,148.44 ,


 Confidence Scores % (Table Cell) 
94.287109375,93.06640625,94.53125,
89.2578125,88.134765625,89.55078125,
90.478515625,89.306640625,90.72265625,
89.990234375,88.8671875,90.283203125,
88.57421875,87.451171875,88.8671875,
93.505859375,92.333984375,93.798828125,





Table: Table_2

Policy Form ,Form Factor ,
UPCIC HO3 15 ,1.00 ,
UPCIC HO8 15 ,1.25 ,
UPCIC HO8 15 with UPCIC 403 15 ,1.40 ,


 Confidence Scores % (Table Cell) 
94.287109375,93.896484375,
87.353515625,86.962890625,
85.791015625,85.44921875,
43.212890625,43.0419921875,





Table: Table_3

PROTECTION CLASS ,,CONSTRUCTION ,,
,Frame ,Masonry ,Superior ,
1 ,1.16 ,0.95 ,0.78 ,
2 ,1.17 ,0.96 ,0.79 ,
3 ,1.18 ,0.98 ,0.80 ,
4 ,1.19 ,0.99 ,0.81 ,
5 ,1.21 ,1.00 ,0.82 ,
6 ,1.22 ,1.01 ,0.83 ,
7 ,1.75 ,1.08 ,0.89 ,
8 ,1.75 ,1.08 ,0.89 ,
8B ,1.89 ,1.23 ,1.01 ,
9 ,1.99 ,1.33 ,1.09 ,
10 & 10 W ,2.53 ,1.33 ,1.09 ,
1X 8X ,1.99 ,1.33 ,1.09 ,
1Y 8Y ,1.89 ,1.23 ,1.01 ,


 Confidence Scores % (Table Cell) 
95.1171875,90.380859375,90.380859375,90.380859375,
92.236328125,89.0625,91.30859375,90.673828125,
92.67578125,89.55078125,91.748046875,91.11328125,
91.748046875,88.623046875,90.8203125,90.185546875,
92.67578125,89.55078125,91.748046875,91.11328125,
91.845703125,88.720703125,90.91796875,90.283203125,
90.283203125,87.20703125,89.35546875,88.720703125,
92.236328125,89.0625,91.30859375,90.673828125,
91.69921875,88.57421875,90.771484375,90.13671875,
89.94140625,86.865234375,89.013671875,88.37890625,
91.015625,87.939453125,90.13671875,89.501953125,
90.52734375,87.40234375,89.599609375,88.96484375,
89.990234375,86.9140625,89.0625,88.427734375,
91.11328125,88.037109375,90.234375,89.55078125,
94.140625,90.91796875,93.1640625,92.529296875,





Table: Table_4

PROTECTION CLASS ,,CONSTRUCTION ,,
,Frame ,Masonry ,Superior ,
All Classes ,1.25 ,1.00 ,0.95 ,


 Confidence Scores % (Table Cell) 
93.06640625,86.03515625,86.03515625,86.03515625,
85.7421875,79.443359375,83.59375,81.005859375,
88.525390625,81.982421875,86.279296875,83.642578125,





