Table: Table_1

Territory ,Base Class Premium ,Wind Exclusion Credit ,
555 ,182.39 162.53 ,91.56 81.59 ,
561 ,228.45 198.65 ,114.69 99.73 ,
562 ,233.54 -205.09 ,117.24 102.96 ,
581 ,234.83 209.78 ,117.88 105.31 ,
582 ,240.21 208.88 ,120.58 104.85 ,
583 ,251.74 218.90 ,126.38 -109.89 ,
591 ,130.07 116.05 ,65.29 58.25 ,
592 ,167.17 155.11 ,83.92 77.87 ,
593 ,119.44 107.17 ,14.21 -12.75 ,
594 ,162.28 147.74 ,81.47 74.17 ,
595 ,178.50 -157.60 ,89.61 -79.12 ,
596 ,155.66 142.59 ,78.14 71.58 ,
601 ,145.70 140.27 ,73.15 70.42 ,
602 ,202.37 180.74 ,101.60 90.74 ,
603 ,173.14 -157.35 ,86.92 -78.99 ,
604 ,183.43 168.58 ,92.09 84.63 ,
605 ,305.03 -273.70 ,153.13 -137.40 ,
606 ,160.56 144.75 ,80.60 72.66 ,
607 ,177.09 168.01 ,88.90 84.34 ,
608 ,140.21 127.40 ,70.38 -63.95 ,
609 ,142.13 -139.75 ,71.34 70.15 ,
692 ,120.92 109.79 ,14.38 -13.06 ,
693 ,119.17 -107.03 ,14.19 12.74 ,
701 ,131.98 -122.10 ,54.64 -50.55 ,
702 ,89.83 89.78 ,37.19 37.17 ,
711 ,184.43 160.37 ,76.35 -66.39 ,
712 ,142.52 -123.93 ,59.01 -51.31 ,
713 ,151.22 135.69 ,62.60 56.17 ,
714 ,132.31 -116.38 ,54.78 -48.18 ,
715 ,188.71 -172.05 ,78.13 71.23 ,
721 ,131.72 121.49 ,54.54 50.30 ,
722 ,185.30 -166.27 ,76.72 -68.84 ,
723 ,139.33 124.47 ,57.68 -51.53 ,
724 ,174.20 155.52 ,72.12 -64.39 ,
725 ,129.94 116.03 ,53.80 -48.04 ,
726 ,120.55 110.44 ,49.92 -45.73 ,
731 ,125.74 112.19 ,52.06 -46.45 ,
732 ,196.03 196.03 ,81.16 81.16 ,
733 ,138.86 -123.14 ,57.49 -50.98 ,
734 ,166.64 166.64 ,68.99 68.99 ,
735 ,180.70 157.16 ,74.82 -65.07 ,
736 ,133.78 117.32 ,55.38 48.57 ,
737 ,150.97 135.46 ,62.50 -56.08 ,
792 ,93.19 85.96 ,11.10 -10.24 ,
793 ,119.44 107.17 ,14.21 -12.75 ,
892 ,96.51 88.91 ,11.49 10.58 ,
893 ,131.59 118.07 ,15.66 14.05 ,
921 ,116.52 108.61 ,13.87 -12.93 ,
922 ,115.17 103.83 ,13.71 12.36 ,
923 ,119.44 107.17 ,14.21 -12.75 ,
931 ,119.36 107.10 ,14.21 -12.75 ,
932 ,119.44 107.17 ,14.21 12.75 ,


 Confidence Scores % (Table Cell) 
95.166015625,95.947265625,95.751953125,
92.431640625,93.1640625,92.96875,
93.017578125,93.798828125,93.603515625,
93.75,94.482421875,94.3359375,
93.5546875,94.3359375,94.140625,
93.26171875,94.04296875,93.84765625,
93.505859375,94.287109375,94.091796875,
92.87109375,93.603515625,93.408203125,
93.896484375,94.62890625,94.482421875,
92.48046875,93.212890625,93.017578125,
93.5546875,94.3359375,94.140625,
93.798828125,94.53125,94.384765625,
89.306640625,89.990234375,89.84375,
93.9453125,94.677734375,94.53125,
85.44921875,86.1328125,85.9375,
92.67578125,93.408203125,93.212890625,
81.201171875,81.884765625,81.689453125,
93.017578125,93.798828125,93.603515625,
92.919921875,93.701171875,93.505859375,
93.5546875,94.3359375,94.140625,
93.115234375,93.896484375,93.701171875,
92.96875,93.75,93.5546875,
93.06640625,93.84765625,93.65234375,
89.74609375,90.478515625,90.283203125,
91.89453125,92.626953125,92.431640625,
88.671875,89.404296875,89.208984375,
91.455078125,92.1875,92.041015625,
89.453125,90.185546875,90.0390625,
83.447265625,84.130859375,83.935546875,
92.48046875,93.212890625,93.017578125,
91.748046875,92.48046875,92.28515625,
92.724609375,93.45703125,93.26171875,
92.822265625,93.5546875,93.359375,
91.064453125,91.796875,91.6015625,
93.1640625,93.9453125,93.75,
92.529296875,93.26171875,93.06640625,
91.259765625,91.9921875,91.845703125,
91.845703125,92.578125,92.3828125,
67.626953125,68.1640625,68.017578125,
91.357421875,92.08984375,91.943359375,
91.357421875,92.08984375,91.943359375,
89.892578125,90.625,90.4296875,
92.578125,93.310546875,93.115234375,
92.3828125,93.115234375,92.919921875,
92.7734375,93.505859375,93.310546875,
91.69921875,92.431640625,92.28515625,
92.67578125,93.408203125,93.212890625,
93.115234375,93.896484375,93.701171875,
92.041015625,92.7734375,92.578125,
92.333984375,93.06640625,92.87109375,
93.212890625,93.994140625,93.798828125,
93.212890625,93.994140625,93.798828125,
92.431640625,93.1640625,92.96875,





